Id,Year,Month,Res,solids,NTU,org_ml,MPN_100ml,MPN_100ml__1,LosR,Silica,Ca,Mg,Ca_Mg,NO3,NO3_USGS,Cl2,Na,SO4,K,pH,Alk,Hard,Nhard,C_USGSTemp,F_USGS,Temp,MD_Precip_inch_mon,MD_Temp_F
19051,1905,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,28
190510,1905,10,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,2.82,56.1
190511,1905,11,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32,42.4
190512,1905,12,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,3.45,0,0,0,0,73.5,75.25,0,0,0,0,4.37,35.8
19052,1905,2,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.76,24.4
19053,1905,3,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,44.6
19054,1905,4,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.84,51.7
19055,1905,5,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.98,63.9
19056,1905,6,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55,70.7
19057,1905,7,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.94,74.8
19058,1905,8,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,72.5
19059,1905,9,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78,66.4
19061,1906,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,3.25,0,0,0,0,78,85.5,0,0,0,0,2.96,38.1
190610,1906,10,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0.74375,0,2.917391304,0,0,0,0,78.65217391,85.34782609,0,0,0,0,5.21,54.9
190611,1906,11,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0.933333333,0,2.821875,0,0,0,0,64.53125,69,0,0,0,0,1.46,44.3
190612,1906,12,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0.95,0,2.897142857,0,0,0,0,53,59.67647059,0,0,0,0,4.19,34.9
19062,1906,2,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0.796666667,0,1.957894737,0,0,0,0,50.76190476,55.8,0,0,0,0,2.52,32.2
19063,1906,3,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0.685,0,1.797560976,0,0,0,0,39.96666667,47.62295082,0,0,0,0,4.89,35.9
19064,1906,4,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0.94375,0,1.520408163,0,0,0,0,40.38983051,50.01694915,0,0,0,0,3.25,53
19065,1906,5,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0.735,0,1.93030303,0,0,0,0,62.1969697,71.57575758,0,0,0,0,2.65,62.6
19066,1906,6,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0.79375,0,2.16,0,0,0,0,67.47169811,78.2,0,0,0,0,6.03,71.4
19067,1906,7,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0.745,0,1.786666667,0,0,0,0,72.74074074,80.36,0,0,0,0,5.28,73.5
19068,1906,8,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0.56875,0,1.625,0,0,0,0,56.6,67.46666667,0,0,0,0,8.44,75.2
19069,1906,9,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0.79375,0,1.96,0,0,0,0,80.42857143,85.58333333,0,0,0,0,1.3,70
19071,1907,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,1.16,0,1.932,0,0,0,0,39.08,46.64,0,0,0,0,3.31,35
190710,1907,10,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0.74,0,2.04,0,0,0,0,69.28,72.3,0,0,0,0,2.36,50.6
